POA,Population (2006),Population (2011),Population (2016),Population (2021)
3000,9439.0,13257.0,22911.0,34456.0
3002,2845.0,2908.0,2960.0,3477.0
3003,1326.0,1773.0,2669.0,5203.0
3004,3659.0,4892.0,5829.0,8171.0
3005,294.0,412.0,285.0,
3006,5886.0,7115.0,11618.0,17514.0
3008,2576.0,3563.0,6226.0,10836.0
3010,32.0,35.0,20.0,
3011,7386.0,8425.0,10132.0,12321.0
3012,9226.0,10176.0,11437.0,12358.0
3013,5772.0,6079.0,6401.0,6844.0
3015,6716.0,7098.0,7381.0,7778.0
3016,6205.0,6360.0,6670.0,7133.0
3018,5313.0,5539.0,5967.0,6318.0
3019,2738.0,3092.0,3466.0,3973.0
3020,14626.0,15328.0,16791.0,17636.0
3021,18500.0,18945.0,19759.0,20584.0
3022,1117.0,1185.0,1260.0,1348.0
3023,12491.0,18756.0,20605.0,21600.0
3024,4037.0,6634.0,8269.0,11608.0
3025,4367.0,4576.0,4902.0,5348.0
3026,239.0,75.0,62.0,2570.0
3027,59.0,1224.0,2256.0,3186.0
3028,10776.0,10839.0,11388.0,11736.0
3029,16363.0,24213.0,30708.0,42163.0
3030,20507.0,29009.0,36245.0,43583.0
3031,8111.0,8557.0,8947.0,9452.0
3032,9607.0,11136.0,13094.0,14387.0
3033,5009.0,5255.0,5673.0,5956.0
3034,4241.0,4389.0,4623.0,4911.0
3036,2199.0,2248.0,2318.0,2349.0
3037,12785.0,15223.0,16434.0,16928.0
3038,9209.0,9347.0,9479.0,9580.0
3039,5702.0,5971.0,6368.0,8090.0
3040,9858.0,10165.0,11199.0,12189.0
3041,4239.0,4453.0,4967.0,5411.0
3042,5985.0,6247.0,6896.0,7448.0
3043,6832.0,7170.0,7409.0,7572.0
3044,9751.0,10328.0,11421.0,12317.0
3045,6.0,35.0,9.0,14.0
3046,11873.0,12618.0,13968.0,15636.0
3047,6491.0,6742.0,7317.0,7823.0
3048,5473.0,5592.0,5772.0,6000.0
3049,3089.0,3266.0,3546.0,3872.0
3050,3.0,,3.0,
3051,5116.0,5975.0,7539.0,8841.0
3052,1536.0,1923.0,2450.0,2858.0
3053,6885.0,7784.0,10217.0,10395.0
3054,4062.0,4083.0,4090.0,4138.0
3055,6113.0,6385.0,6964.0,7885.0
3056,9973.0,10730.0,11772.0,13095.0
3057,3467.0,4107.0,5994.0,7498.0
3058,12467.0,13055.0,14067.0,14969.0
3059,3293.0,3568.0,4867.0,6762.0
3060,4563.0,4789.0,5135.0,5415.0
3061,1826.0,1854.0,1798.0,1828.0
3062,0.0,0.0,0.0,10.0
3063,,235.0,195.0,203.0
3064,12243.0,16800.0,23125.0,35876.0
3065,4329.0,4726.0,5226.0,6040.0
3066,3042.0,3440.0,4665.0,5653.0
3067,2126.0,2290.0,4403.0,5691.0
3068,7920.0,8288.0,8972.0,9512.0
3070,9985.0,10242.0,10975.0,11628.0
3071,8026.0,8215.0,8665.0,9148.0
3072,11764.0,12517.0,14251.0,15684.0
3073,19512.0,20438.0,21846.0,23183.0
3074,7271.0,7495.0,7884.0,8188.0
3075,6968.0,7358.0,8338.0,8740.0
3076,6547.0,9149.0,11275.0,11939.0
3078,4225.0,4605.0,5109.0,5692.0
3079,5944.0,6212.0,6786.0,7678.0
3081,5636.0,5847.0,5987.0,6551.0
3082,10172.0,10317.0,10578.0,10785.0
3083,9620.0,10647.0,12197.0,13025.0
3084,9591.0,10017.0,10575.0,11324.0
3085,4861.0,5398.0,5552.0,5669.0
3086,115.0,10.0,34.0,
3087,3540.0,3679.0,3724.0,3783.0
3088,9743.0,10176.0,10557.0,10806.0
3089,3367.0,3915.0,4136.0,4372.0
3090,650.0,644.0,749.0,793.0
3091,482.0,505.0,529.0,537.0
3093,1510.0,1531.0,1555.0,1597.0
3094,3329.0,3673.0,3723.0,3805.0
3095,9699.0,9777.0,10036.0,10269.0
3096,520.0,615.0,639.0,646.0
3097,366.0,477.0,488.0,518.0
3099,1643.0,1768.0,1807.0,1872.0
3101,9238.0,9881.0,10328.0,10630.0
3102,2501.0,2372.0,2611.0,2647.0
3103,6203.0,6235.0,6445.0,6846.0
3104,7470.0,7602.0,7598.0,7944.0
3105,4279.0,4417.0,4441.0,4636.0
3106,5656.0,5914.0,6108.0,6320.0
3107,5016.0,5110.0,5353.0,5559.0
3108,7328.0,7816.0,9254.0,11748.0
3109,10126.0,10416.0,11029.0,12255.0
3111,4231.0,4383.0,4615.0,4738.0
3113,2744.0,2935.0,2947.0,2960.0
3114,1129.0,1192.0,1221.0,1242.0
3115,1368.0,1243.0,1274.0,1300.0
3116,3349.0,3459.0,3753.0,4377.0
3121,12690.0,13467.0,15879.0,17971.0
3122,9595.0,10356.0,11578.0,11965.0
3123,5942.0,5967.0,6666.0,7715.0
3124,7611.0,7652.0,8703.0,9060.0
3125,4843.0,5315.0,6048.0,6722.0
3126,2867.0,3039.0,3100.0,3167.0
3127,7005.0,7100.0,7324.0,7752.0
3128,6926.0,7499.0,8726.0,11348.0
3129,6504.0,6615.0,7126.0,7408.0
3130,11822.0,12172.0,12877.0,13601.0
3131,8534.0,8810.0,9172.0,9627.0
3132,6083.0,6270.0,6808.0,7039.0
3133,7952.0,8097.0,8281.0,8533.0
3134,11775.0,12307.0,12931.0,14145.0
3135,7543.0,7945.0,8061.0,8316.0
3136,15849.0,16635.0,18252.0,19099.0
3137,4884.0,5208.0,5585.0,5922.0
3138,7084.0,7668.0,8250.0,8641.0
3139,4794.0,5163.0,5190.0,5370.0
3140,5459.0,6084.0,6631.0,7108.0
3141,10911.0,11643.0,15808.0,17644.0
3142,6938.0,6907.0,7087.0,7195.0
3143,4470.0,4561.0,4653.0,5418.0
3144,4330.0,4423.0,4942.0,5150.0
3145,8564.0,8778.0,9543.0,10770.0
3146,9615.0,10258.0,10495.0,11283.0
3147,5218.0,5371.0,5801.0,6063.0
3148,3068.0,3255.0,3625.0,4154.0
3149,12422.0,12809.0,13331.0,13887.0
3150,21651.0,21896.0,22699.0,24521.0
3151,3967.0,3959.0,4062.0,4485.0
3152,11237.0,11482.0,12380.0,13182.0
3153,7787.0,8216.0,8607.0,9055.0
3154,1481.0,1597.0,1683.0,1680.0
3155,8534.0,8910.0,9608.0,10241.0
3156,12743.0,13422.0,14374.0,14878.0
3158,2450.0,2625.0,2565.0,2575.0
3159,1187.0,913.0,954.0,949.0
3160,3374.0,3434.0,3461.0,3453.0
3161,6242.0,6395.0,6712.0,8087.0
3162,6724.0,6916.0,7280.0,7565.0
3163,13133.0,13750.0,14806.0,16370.0
3165,10057.0,10329.0,10916.0,11828.0
3166,8549.0,8931.0,9643.0,10772.0
3167,3415.0,3492.0,3638.0,3921.0
3168,6127.0,6594.0,8086.0,9196.0
3169,6685.0,7096.0,7582.0,8332.0
3170,6082.0,6754.0,7196.0,7409.0
3171,6867.0,7093.0,7490.0,8111.0
3172,7737.0,7967.0,8098.0,8155.0
3173,5841.0,6560.0,8459.0,9734.0
3174,13429.0,13986.0,14819.0,15459.0
3175,17392.0,18438.0,19893.0,20758.0
3177,3867.0,4047.0,4345.0,4663.0
3178,11180.0,11616.0,11699.0,12077.0
3179,2090.0,2117.0,2161.0,2214.0
3180,2474.0,2822.0,2914.0,3057.0
3181,9389.0,10234.0,11562.0,12473.0
3182,12315.0,13096.0,14802.0,16025.0
3183,9113.0,9308.0,9561.0,9859.0
3184,7989.0,8338.0,8826.0,9083.0
3185,5598.0,5737.0,5975.0,6599.0
3186,8785.0,9115.0,10381.0,10550.0
3187,6329.0,6406.0,6558.0,6771.0
3188,6743.0,6910.0,7681.0,8057.0
3189,2140.0,2262.0,2573.0,2799.0
3190,4242.0,4413.0,4669.0,5420.0
3191,3679.0,3899.0,4391.0,4921.0
3192,8596.0,8799.0,9661.0,10540.0
3193,7566.0,7736.0,8027.0,8204.0
3194,5266.0,5435.0,6105.0,6347.0
3195,12718.0,13846.0,14369.0,14948.0
3196,10104.0,10700.0,11508.0,12161.0
3197,4804.0,5107.0,5261.0,5462.0
3198,7408.0,7613.0,7981.0,8187.0
3199,22754.0,23484.0,24484.0,24913.0
3200,2449.0,2479.0,2552.0,2597.0
3201,6469.0,7464.0,8237.0,9019.0
3202,943.0,959.0,1032.0,1043.0
3204,11092.0,11527.0,12321.0,13829.0
3205,4941.0,5062.0,6249.0,7272.0
3206,5044.0,5059.0,5144.0,5102.0
3207,7121.0,8087.0,8824.0,9724.0
3211,294.0,513.0,498.0,481.0
3212,4779.0,5149.0,5971.0,6949.0
3213,,,1433.0,1679.0
3214,9853.0,10017.0,10546.0,10831.0
3215,8247.0,8710.0,9251.0,9803.0
3216,20081.0,21924.0,23345.0,24732.0
3217,220.0,417.0,2399.0,7599.0
3218,6046.0,6145.0,6597.0,7101.0
3219,8764.0,9181.0,9557.0,9731.0
3220,6986.0,7256.0,7843.0,8269.0
3221,2946.0,3436.0,264.0,297.0
3222,4576.0,5153.0,6479.0,8018.0
3223,5273.0,5915.0,6405.0,7523.0
3224,3290.0,4055.0,5839.0,6171.0
3225,3226.0,3392.0,3559.0,4167.0
3226,5818.0,6578.0,7391.0,8669.0
3227,2056.0,2456.0,2676.0,2843.0
3228,6121.0,7645.0,8911.0,10945.0
3230,2758.0,2851.0,2929.0,3015.0
3231,1462.0,1802.0,1776.0,1911.0
3232,1604.0,1749.0,1881.0,1770.0
3233,2236.0,2148.0,2314.0,2563.0
3234,,,489.0,518.0
3235,446.0,223.0,250.0,265.0
3236,104.0,170.0,153.0,165.0
3237,,314.0,194.0,184.0
3238,163.0,136.0,190.0,205.0
3239,332.0,250.0,268.0,271.0
3240,423.0,761.0,754.0,791.0
3241,981.0,1036.0,1172.0,1374.0
3242,319.0,369.0,420.0,461.0
3243,122.0,330.0,195.0,218.0
3249,1758.0,1234.0,1443.0,1525.0
3250,4988.0,5303.0,5610.0,5833.0
3251,105.0,338.0,244.0,279.0
3254,,159.0,131.0,144.0
3260,2287.0,2116.0,2282.0,2377.0
3264,1042.0,1089.0,1090.0,1090.0
3265,786.0,1065.0,1092.0,1171.0
3266,1486.0,1459.0,1368.0,1381.0
3267,,117.0,108.0,88.0
3268,1285.0,1075.0,1201.0,1181.0
3269,561.0,585.0,456.0,434.0
3270,272.0,279.0,336.0,363.0
3271,143.0,,98.0,98.0
3272,741.0,848.0,798.0,821.0
3273,,61.0,65.0,60.0
3274,207.0,178.0,112.0,129.0
3275,265.0,174.0,163.0,161.0
3276,261.0,191.0,205.0,196.0
3277,608.0,708.0,746.0,782.0
3278,163.0,159.0,116.0,139.0
3279,153.0,,102.0,107.0
3280,12171.0,13246.0,14420.0,15205.0
3281,160.0,608.0,623.0,672.0
3282,691.0,943.0,973.0,1061.0
3283,592.0,355.0,549.0,606.0
3284,1780.0,2043.0,2249.0,2395.0
3285,575.0,583.0,565.0,599.0
3286,387.0,310.0,302.0,291.0
3287,159.0,162.0,177.0,196.0
3289,373.0,324.0,400.0,423.0
3292,255.0,286.0,263.0,258.0
3293,146.0,161.0,164.0,207.0
3294,462.0,434.0,480.0,514.0
3300,4955.0,4862.0,4990.0,5104.0
3301,216.0,687.0,571.0,572.0
3302,201.0,241.0,193.0,192.0
3303,168.0,214.0,162.0,140.0
3304,1296.0,1190.0,1372.0,1383.0
3305,5670.0,6027.0,6316.0,6506.0
3309,,110.0,61.0,63.0
3310,211.0,196.0,141.0,161.0
3311,809.0,869.0,938.0,961.0
3312,617.0,472.0,538.0,539.0
3314,344.0,348.0,256.0,284.0
3315,894.0,881.0,871.0,903.0
3317,50.0,193.0,109.0,110.0
3318,786.0,560.0,731.0,725.0
3319,168.0,178.0,219.0,230.0
3321,485.0,460.0,578.0,635.0
3322,63.0,,92.0,101.0
3323,58.0,,56.0,57.0
3324,405.0,342.0,316.0,330.0
3325,367.0,314.0,265.0,273.0
3328,507.0,528.0,613.0,758.0
3329,,135.0,131.0,137.0
3330,126.0,215.0,101.0,113.0
3331,1196.0,1485.0,2106.0,2470.0
3332,308.0,341.0,374.0,424.0
3333,215.0,308.0,349.0,383.0
3334,211.0,240.0,262.0,280.0
3335,603.0,716.0,2193.0,2375.0
3336,,,,5409.0
3337,9459.0,12207.0,13674.0,15237.0
3338,4589.0,6338.0,8852.0,12917.0
3340,6052.0,7058.0,8320.0,10131.0
3341,530.0,622.0,640.0,635.0
3342,1504.0,1352.0,1505.0,1760.0
3345,437.0,522.0,475.0,576.0
3350,21949.0,23889.0,26787.0,29657.0
3351,2790.0,3273.0,3356.0,3718.0
3352,5324.0,5827.0,6256.0,7352.0
3355,5407.0,5914.0,6180.0,6315.0
3356,5249.0,6262.0,7345.0,7226.0
3357,887.0,1239.0,1412.0,1522.0
3358,,,,1253.0
3360,270.0,436.0,416.0,434.0
3361,332.0,475.0,357.0,373.0
3363,1303.0,1462.0,1598.0,1698.0
3364,780.0,950.0,999.0,1062.0
3370,790.0,878.0,929.0,1054.0
3371,627.0,610.0,585.0,668.0
3373,975.0,973.0,1166.0,1296.0
3374,,274.0,190.0,220.0
3375,90.0,129.0,95.0,100.0
3377,4181.0,3856.0,4240.0,4317.0
3378,,159.0,60.0,57.0
3379,463.0,315.0,418.0,423.0
3380,2767.0,2914.0,2967.0,3058.0
3381,1416.0,890.0,944.0,952.0
3384,267.0,445.0,299.0,300.0
3385,,282.0,262.0,276.0
3387,107.0,167.0,173.0,141.0
3388,290.0,277.0,277.0,296.0
3390,504.0,485.0,494.0,501.0
3391,69.0,130.0,88.0,85.0
3392,238.0,343.0,313.0,324.0
3393,1385.0,1353.0,1370.0,1402.0
3395,234.0,340.0,219.0,193.0
3396,300.0,308.0,391.0,399.0
3400,6155.0,6696.0,7033.0,7306.0
3401,1928.0,1989.0,1852.0,1972.0
3407,277.0,196.0,220.0,241.0
3409,522.0,540.0,501.0,521.0
3412,134.0,128.0,162.0,163.0
3413,53.0,131.0,132.0,117.0
3414,884.0,906.0,922.0,986.0
3415,,,18.0,20.0
3418,1426.0,1363.0,1426.0,1404.0
3419,493.0,516.0,431.0,478.0
3420,193.0,166.0,155.0,136.0
3423,337.0,364.0,308.0,334.0
3424,499.0,423.0,451.0,466.0
3427,888.0,939.0,1154.0,2300.0
3428,128.0,246.0,248.0,254.0
3429,11618.0,12969.0,14000.0,15413.0
3430,,185.0,126.0,125.0
3431,1015.0,1360.0,1457.0,1655.0
3432,,,82.0,78.0
3433,,106.0,77.0,77.0
